hour,SOC,DOC,MBC,EEC
0,92.943655,2.533668637,2.119178519,2.372247424
10,100.6298076,1.288561031,2.417058022,1.832561911
20,104.9273562,3.553003329,1.377224393,2.145534743
30,98.17526211,2.217851032,0.824308291,1.959014426
40,105.4671977,3.550938699,1.61503788,1.886556131
50,95.35159328,2.356619158,1.532726,2.074913857
60,87.49590177,2.189276445,2.537783943,2.25541029
70,93.92640696,3.319129788,1.346640878,1.993853631
80,99.76220012,2.477857714,2.750897303,2.037965106
90,97.23590068,2.534567769,1.645117075,2.038526006
100,94.2801288,3.082854688,3.053560369,1.708283792
110,109.1799701,2.528996551,2.384485285,1.542304079
120,102.7808889,3.76155916,2.138200268,1.903136833
130,89.6462997,2.976190106,1.850821979,2.037186589
140,100.6491879,3.961058488,2.244171569,1.936357153
150,105.0771699,3.680119896,3.60255636,1.87675038
160,103.2990641,3.768118694,2.030299531,1.988173266
170,102.3325086,4.237617439,1.005031575,1.780322749
180,90.37618469,2.92076352,3.521889249,1.783983663
190,99.52199028,4.792221813,1.936268017,1.97725315
200,95.4944961,3.206855194,1.625124046,1.886804285
210,88.76398457,3.522034503,1.410373007,1.69209715
220,99.88645824,4.632644893,2.69086598,1.742539611
230,106.2796201,2.651855951,1.675695504,2.128297647
240,94.65370922,4.526492529,1.035215433,1.89768401
250,92.44355749,4.354033179,1.721470657,2.6817574
260,90.86945247,4.187723351,2.098231994,2.197039423
270,86.11071023,2.972391226,3.577948689,2.20641339
280,100.5795361,3.590303643,4.211741796,1.613852517
290,86.3689049,4.748907031,1.476414712,2.13453734
300,83.80900694,4.192239629,3.351305484,2.330556279
310,98.79276549,3.246157618,1.606747105,2.226056295
320,93.01785605,4.699434594,2.255525254,2.283650249
330,92.98532786,4.031113935,2.176362204,2.832424545
340,86.36225521,6.796913819,2.072791264,2.274545212
350,79.32490167,3.395900617,2.615242185,2.650545317
360,109.7352322,3.914384414,2.544587751,2.34353451
370,100.339776,4.696849182,2.969249845,2.267692283
380,97.66271365,4.897530912,1.655894317,2.146803882
390,102.2179644,5.797333331,1.983825886,1.680744057
400,84.5408909,4.789887147,2.483819743,1.934757197
410,105.9624402,4.472082976,3.007165502,2.430739039
420,88.16803462,5.874281142,2.668570429,2.038152368
430,104.1883642,5.600721486,2.497453505,2.618991152
440,91.34609115,5.823037788,3.594403124,2.52544787
450,93.06294084,5.733800422,2.34355344,2.365504134
460,96.00271643,6.802713009,3.568426604,2.049390528
470,88.84128023,6.349388006,4.527623999,2.126318264
480,106.4545119,7.310767746,3.479294661,2.453225048
490,90.28753553,5.762033499,3.010480566,2.229831528
500,90.58224927,6.149732137,2.637157678,1.922056316
510,95.4611638,5.79378809,2.350401375,2.327894212
520,87.73656839,6.316273434,3.106070421,2.250204532
530,88.43133161,5.910627609,3.285139486,2.837382454
540,98.83273639,7.44348719,3.604786036,2.18701203
550,86.3764523,6.099072437,2.688964637,1.759242531
560,85.68397675,7.151353907,2.375487601,2.217797774
570,101.2809824,7.166445838,1.494516178,1.966307232
580,96.30336535,6.908614557,1.330623964,2.235488551
590,95.52190586,6.926985292,1.2692293,1.916147886
600,85.41481118,7.483101106,3.576917338,2.040577084
610,88.34916297,6.528463902,3.581125817,2.187287008
620,83.54136708,7.798065148,3.117449461,1.882342497
630,99.07897341,7.986050412,3.355891904,1.543390815
640,95.75527748,7.623713819,2.652317472,1.955928242
650,99.3645492,7.968040147,2.377938113,2.253619928
660,84.45073365,6.483104054,2.827884822,2.116372782
